Date,Trees,Diff
2019-11-04,12680.524,18788
2019-11-04,12684.11,3586
2019-11-04,12688.513,4403
2019-11-04,12691.979,3466
2019-11-04,12716.188,24209
2019-11-04,12721.399,5211
2019-11-04,12726.854,5455
2019-11-04,12732.299,5445
2019-11-04,12740.011,7712
2019-11-04,12745.018,5007
2019-11-04,12748.41,3392
2019-11-04,12752.532,4122
2019-11-04,12753.946,1414
2019-11-05,12756.501,2555
2019-11-05,12759.559,3058
2019-11-05,12762.37,2811
2019-11-05,12812.256,49886
2019-11-05,12814.872,2616
2019-11-05,12818.771,3899
2019-11-05,12822.475,3704
2019-11-05,12826.207,3732
2019-11-05,12839.26,13053
2019-11-05,12843.713,4453
2019-11-05,12848.311,4598
2019-11-05,12857.222,8911
2019-11-05,12858.712,1490
2019-11-05,12862.143,3431
2019-11-05,12863.86,1717
2019-11-05,12866.106,2246
2019-11-05,12867.429,1323
2019-11-05,12869.269,1840
2019-11-05,12870.294,1025
2019-11-05,12875.416,5122
2019-11-05,12876.582,1166
2019-11-05,12878.103,1521
2019-11-05,12879.715,1612
2019-11-05,12881.626,1911
2019-11-05,12883.218,1592
2019-11-05,12885.088,1870
2019-11-05,12886.801,1713
2019-11-05,12888.222,1421
2019-11-05,12891.083,2861
2019-11-05,12894.203,3120
2019-11-05,12898.05,3847
2019-11-05,12904.488,6438
2019-11-05,12906.919,2431
2019-11-05,12909.674,2755
2019-11-05,12912.341,2667
2019-11-05,12914.597,2256
2019-11-05,12916.96,2363
2019-11-05,12919.456,2496
2019-11-05,12922.78,3324
2019-11-05,12928.773,5993
2019-11-05,12932.459,3686
2019-11-05,12936.313,3854
2019-11-05,12941.446,5133
2019-11-05,12944.322,2876
2019-11-05,12946.714,2392
2019-11-05,12969.646,22932
2019-11-05,12972.392,2746
2019-11-05,12986.697,14305
2019-11-06,12991.718,5021
2019-11-06,12994.801,3083
2019-11-06,12997.177,2376
2019-11-06,13005.959,8782
2019-11-06,13009.897,3938
2019-11-06,13013.412,3515
2019-11-06,13015.607,2195
2019-11-06,13018.174,2567
2019-11-06,13020.789,2615
2019-11-06,13023.787,2998
2019-11-06,13025.271,1484
2019-11-06,13033.693,8422
2019-11-06,13036.575,2882
2019-11-06,13038.255,1680
2019-11-06,13040.29,2035
2019-11-06,13041.533,1243
2019-11-06,13043.182,1649
2019-11-06,13044.197,1015
2019-11-06,13045.095,898
2019-11-06,13046.757,1662
2019-11-06,13049.543,2786
2019-11-06,13050.967,1424
2019-11-06,13052.675,1708
2019-11-06,13054.703,2028
2019-11-06,13056,1297
2019-11-06,13057.661,1661
2019-11-06,13059.504,1843
2019-11-06,13061.071,1567
2019-11-06,13063.283,2212
2019-11-06,13064.574,1291
2019-11-06,13073.249,8675
2019-11-06,13074.637,1388
2019-11-06,13077.054,2417
2019-11-06,13079.66,2606
2019-11-06,13082.984,3324
2019-11-06,13085.035,2051
2019-11-06,13086.822,1787
2019-11-06,13088.791,1969
2019-11-06,13093.547,4756
2019-11-06,13096.155,2608
2019-11-06,13098.647,2492
